genus_full,genus_short,mean_abs_shap,mean_signed_shap,direction,mean_clr_cd,mean_clr_nonIBD
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera,g__Tetrasphaera,0.12648964401287216,-7.401486830834377e-19,nonIBD,-0.0914190430451639,-0.8602712744745074
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905,g__UBA5905,0.11446327922730058,-3.4231876592608994e-18,nonIBD,0.9162794448143757,1.4879598333205566
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Pullichristensenella,g__Pullichristensenella,0.11235465283999974,3.3306690738754695e-18,CD,0.07538848174779839,0.9387084842770169
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__Aphodomorpha,g__Aphodomorpha,0.110280197292239,-1.1472304587793284e-17,nonIBD,0.8979307117135227,1.5129305647303057
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS856,g__UMGS856,0.10143929360461315,1.905882858939852e-17,CD,2.131816884563721,3.341374749545491
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,g__Gemella,0.09718698065489989,2.6830389761774616e-18,CD,0.7048417522739246,-0.035845164136792965
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Arachidicoccus,g__Arachidicoccus,0.09193634763633078,2.0724163126336256e-17,CD,-0.720932612861449,-0.26326114583663734
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA7597,g__UBA7597,0.09186107297237807,1.295260195396016e-18,CD,-0.0967556668360034,0.8545145277307105
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427,g__CAG-1427,0.08609991497418328,-1.8873791418627663e-17,nonIBD,1.5157824219439,2.420625739518172
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Falkowella,g__Falkowella,0.08550011044200637,-4.810966440042345e-18,nonIBD,-0.42622399335782013,0.049307661297421326
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__RGIG9113,g__RGIG9113,0.0826278561019936,7.401486830834377e-19,CD,-0.4153957939894002,0.025524889822727995
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__DSM-24629;g__Natranaerovirga,g__Natranaerovirga,0.08199937319540884,-3.885780586188048e-18,nonIBD,-0.4725002234530045,-0.9157305862082092
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Stercorousia,g__Stercorousia,0.08139156699098124,2.752427915216534e-17,CD,2.6235940498895842,3.415322291171972
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353,g__CAG-353,0.07271959807456271,-2.7385501274087195e-17,nonIBD,1.4479871193270089,2.6664444747612444
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Metaruminococcus,g__Metaruminococcus,0.07098122483260351,-4.070817756958907e-18,nonIBD,-0.6907454332417173,-0.27218977218536217
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus,g__Deinococcus,0.06880825510986063,-3.191891195797325e-18,nonIBD,0.02616911280308249,0.29046915121942707
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__DSM-108975,g__DSM-108975,0.06211295017985177,3.7007434154171887e-19,CD,-0.19505265533555932,0.2926528968631557
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381;g__Ornithomonoglobus,g__Ornithomonoglobus,0.05512850590744601,-2.914335439641036e-18,nonIBD,-0.30869296914741484,0.01054523886198283
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lentilactobacillus,g__Lentilactobacillus,0.05493623565571844,1.3507713466272739e-17,CD,-0.5309304890504141,-0.8608084775555416
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115,g__CAG-115,0.05293489187418403,5.77518357210612e-18,CD,1.6701082914574175,3.422580899533826
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__SFLA01,g__SFLA01,0.050570462534225515,-1.1102230246251566e-18,nonIBD,-0.3398973997484089,0.34904652462127667
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio,g__Solidesulfovibrio,0.04989852329585247,-1.0177044392397268e-17,nonIBD,-0.8454868632956392,-0.6414009425532543
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella,g__Reyranella,0.049645543896301575,3.7007434154171884e-18,CD,-0.35797847749912365,-0.09043036976803251
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Diplorickettsia,g__Diplorickettsia,0.04890768879441976,1.1102230246251566e-18,CD,-0.30576536540967225,-0.9300847204002498
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA10281,g__UBA10281,0.048896242013560805,2.590520390792032e-18,CD,0.3922405068439484,1.339372929507399
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Pygmaiobacter,g__Pygmaiobacter,0.048061498732206456,4.2558549277297664e-18,CD,0.23562378350443705,1.1102356178258974
d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__RUG13091,g__RUG13091,0.046808326305405566,-2.220446049250313e-18,nonIBD,-0.6674371692494604,-1.018625742921877
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Vallitaleaceae;g__W11650,g__W11650,0.045432206897208095,1.942890293094024e-18,CD,-0.28093039027551403,-0.6317432798008571
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia,g__Paraburkholderia,0.04348725468366573,8.974302782386681e-18,CD,0.5069936530244269,0.7565784696675839
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-552;g__Protoclostridium,g__Protoclostridium,0.04296787582332045,-5.088522196198634e-19,nonIBD,-0.018563753235711855,0.35227401538642594
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Chromatium,g__Chromatium,0.042717751936118216,7.123931074678087e-18,CD,-0.33794082204706677,-0.9196207084825829
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWA2-32-17;g__Ch61,g__Ch61,0.038219051099001186,1.1564823173178714e-17,CD,-0.673499537320227,-1.0019028944300352
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1865,g__UMGS1865,0.03700228175405045,1.3302437854948815e-17,CD,0.9992920386453586,1.6025351551263871
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudidiomarina,g__Pseudidiomarina,0.03683239611628464,3.7007434154171887e-19,CD,-0.5761989144167247,-1.005255165905787
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Filifactor,g__Filifactor,0.03668531966889535,-3.86265093984169e-18,nonIBD,-0.6945001086933592,-0.939711616783797
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA8612,g__UBA8612,0.03604119447488144,8.789265611615823e-19,CD,-0.5020067961990315,-0.1526439796535732
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__DSM-16000;f__Inquilinaceae;g__Inquilinus,g__Inquilinus,0.03539066940203792,1.1564823173178713e-18,CD,-0.6770421848694383,-1.013072853378445
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806,g__RUG806,0.033640264377941285,-7.031412489292659e-18,nonIBD,0.5562331696942251,0.9530169202496576
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UBA4717,g__UBA4717,0.03303750292290409,3.7007434154171887e-19,CD,-0.5208822053503849,0.03803152942771777
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Haloimpatiens,g__Haloimpatiens,0.0312348439986646,4.625929269271486e-19,CD,-0.7206962385459463,-1.0584980394016783
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodococcus,g__Thiorhodococcus,0.029154004120810668,1.8503717077085944e-19,CD,-0.344696587301286,-0.9323611472486266
d__Bacteria;p__Riflebacteria;c__Ozemobacteria;o__Ozemobacterales;f__Ozemobacteraceae;g__JADFXM01,g__JADFXM01,0.02750493767947818,7.494005416219807e-18,CD,-0.7226991105380595,-1.0021505724170763
